nome,price,old_price,average_year,var_year,std_year,average_six_months,var_six_months,std_six_months,average_three_months,var_three_months,std_three_months,status
Notebook ASUS Vivobook X1502ZA-EJ1779 Intel Core i5 12450H 2GHz 4Gb Ram 256Gb SSD Linux KeepOS 156 Led Fhd Intel UHD,1954.15,4299,2638.92,8055,90,2638.92,8054.85,89.75,2638.92,8054.85,89.75,APPROVED
Fritadeira Air Fryer Sem Óleo Britânia Bella Cuccina BCFR02P 3L 1300W Antiaderente,197.91,399.9,263.8,688,26,251.24,841.84,29.01,240.87,1359.69,36.87,APPROVED
Smart Tv 43'' Britania Roku Tv Led Full Hd Dolby - Btv43g7pr2csblf,1120.64,1429.41,1336.49,734,27,1336.49,734.07,27.09,1336.49,734.07,27.09,APPROVED
Impressora Epson Ecotank L121 Tanque de Tinta Colorida Cabo USB Bivolt,685.11,1099,750.93,7411,86,709.5,962.83,31.03,702.19,555.63,23.57,APPROVED
Impressora Multifuncional Epson Ecotank - L3210,864.27,1349,907.88,3994,63,872.42,1996.67,44.68,867.92,1295.25,35.99,APPROVED
"Smartphone Motorola Edge 30 Neo 8GB RAM 256GB 5G Tela 63"" FHD",1242.79,1999,1920.64,112229,335,1637.15,31149.13,176.49,1508.33,13155.62,114.7,APPROVED
"Monitor LED 24"" AOC Hero 24G2 144hz IPS 1ms AMD Freesync - 24G2/BK",809.1,1999,1092.81,14443,120,1012.17,12252.17,110.69,920.56,5637.45,75.08,APPROVED
Notebook Acer Aspire 3 Intel Core i3 8GB 512GB SSD A315-510P-35D2,2213.1,5406.4,2279.72,18009,134,2279.72,18008.76,134.2,2279.72,18008.76,134.2,APPROVED
Smart TV 50” 4K UHD LED Semp RK8600 Wi-Fi,1899.05,3199,2006.38,35806,189,1887.73,21198.84,145.6,1832.43,27435.53,165.64,APPROVED
TV 39 Philco Led PTV39N87D HD Recepção Digital,920.61,1499.9,1059.19,52962,230,934.52,3343.59,57.82,906.36,2354.56,48.52,APPROVED
"Smart TV LED Konka 43"" Full HD Design sem bordas comando por voz Google Assistant e Android TV com Bluetooth - KDG43",1039.89,1352.17,1392.56,34203,185,1345.54,24867.06,157.69,1321.01,51397.41,226.71,APPROVED
"Smart TV Samsung 43"" Crystal UHD 4K 2023 Painel Dynamic Crystal Color - UN43CU8000GXZD",1614.19,3149,1970.19,37671,194,1920.65,30167.31,173.69,1863.78,49040.01,221.45,APPROVED
Tênis Asics Gel-Impression 11 Feminino,194.74,399.99,188.0,62,8,188.0,62.26,7.89,188.0,62.26,7.89,APPROVED
Tênis Asics Gel-Impression 11 Masculino,199.49,399.99,208.38,110,11,208.38,110.25,10.5,208.38,110.25,10.5,APPROVED
"Smartphone Samsung Galaxy M14 5G 128GB 4GB RAM 6.6""",845.19,1872,993.56,17269,131,929.0,4230.94,65.05,901.29,939.1,30.64,APPROVED
Smartphone Samsung Galaxy A23 5G 128GB 4GB RAM 66”,1349.1,2199,1243.06,15579,125,1149.41,5748.96,75.82,1119.01,3799.84,61.64,APPROVED
Porta Shampoo Vidro Metal Parede Box Banheiro Luxo,117.68,156.9,141.42,96,10,156.9,0.0,0.0,156.9,0.0,0.0,APPROVED
Cama Box Solteiro LightSpuma com Baú e Cama Auxiliar 55x88x188cm Lady,699.99,1199.9,820.53,1813,43,800.01,1920.04,43.82,795.68,1834.46,42.83,APPROVED
Kit Teclado e Mouse Gamer Multilaser Warrior Kyler Army LED Branco - TC249,49.9,88.9,99.52,156,12,97.27,186.53,13.66,90.6,232.57,15.25,APPROVED
"Jogo de Ferramentas 1/4"" Sparta 129 Peças com Maleta - 13564",110.42,199.9,156.37,441,21,173.62,420.08,20.5,173.62,420.08,20.5,APPROVED
Tênis Mizuno Cometa Feminino,151.99,329.99,162.64,144,12,160.02,127.99,11.31,153.95,59.29,7.7,APPROVED
Patinete 3 Rodas Skatenet Kid Flower,199.49,349,221.84,849,29,236.77,917.67,30.29,249.95,1183.05,34.4,APPROVED
Lavadora Samsung WW4000 Digital Inverter Inox Look 11kg - WW11J4473PX,2672.19,4599,3123.54,16165,127,3116.95,17657.85,132.88,3090.49,19880.23,141.0,APPROVED
Fritadeira Elétrica Air Fryer Nell Smart - 24L,231.83,449.9,256.84,1425,38,238.62,689.74,26.26,236.43,1335.69,36.55,APPROVED
Lavadora Samsung WW4000 Digital Inverter Inox Look 11kg - WW11J4473PX,2969.1,4599,3123.54,16165,127,3116.95,17657.85,132.88,3090.49,19880.23,141.0,APPROVED
Lava e Seca Samsung 11Kg Inox Look - WD11A4453BX,4229.06,6799,4001.03,40873,202,4133.76,40182.14,200.45,4069.49,53520.36,231.34,APPROVED
